"title","document_type","eli5","keywords","url"
"Presidential Actions Archives","Presidential Action","The President made some new rules to keep people safe, make sure workers are picked fairly, and protect our country from bad guys. It's like making new plans to make sure everything works better for everyone.","Presidential Actions; Aviation Safety; State Protection; Historical Names; Federal Hiring Reform; Diversity Programs; National Security; Terrorism; Government Efficiency; America First Policy","https://www.whitehouse.gov/presidential-actions/"
"First Lady Melania Trump's Official Portrait – The White House","Fact Sheet","**Melania Trump had her picture taken in a special room at the White House by a well-known photographer. This picture is important because it shows her as First Lady.**","Melania Trump; Official portrait; Régine Mahaux; First Lady; Yellow Oval Room; White House","https://www.whitehouse.gov/briefings-statements/2025/01/846/"
"The National Day of Remembrance of the 80th Anniversary of the Liberation of Auschwitz, 2025 – The White House","Proclamation","**Auschwitz** was a really sad place where many people suffered. On January 27, 2025, the President wants everyone to remember what happened and promise not to let it happen again.","Auschwitz; Holocaust; Remembrance; Anti-Semitism; Jewish Community; President Donald J. Trump; Liberation; Proclamation; State of Israel","https://www.whitehouse.gov/presidential-actions/2025/01/871/"
"Presidential Actions Archives","Presidential Action","The President made some important decisions on January 20, 2025. They include changes to how government jobs are filled, stopping doing things with the WHO, making some new rules about TikTok, forgiving some crimes at the Capitol, and more. These are meant to help America do better in different ways.","Presidential Actions; Federal Workforce; World Health Organization; TikTok; Pardons; Environmental Agreements; Price Relief; Hiring Freeze; Regulatory Freeze; In-Person Work; Federal Government Policies","https://www.whitehouse.gov/presidential-actions/"
"A Plan for Establishing a United States Sovereign Wealth Fund","Executive Order","The President wants to create a big savings account for the country to help make money, cut taxes, and keep America strong and safe. Some important people have 90 days to come up with a plan for how to do this.","sovereign wealth fund; United States; executive order; economic security; financial health; fiscal sustainability; investment strategies","https://www.whitehouse.gov/presidential-actions/2025/02/a-plan-for-establishing-a-united-states-sovereign-wealth-fund/"
"About The White House","Fact Sheet","The White House is where the President lives and it's like a big museum about history. Air Force One is a special airplane that the President uses. Camp David is a quiet place in the mountains where the President can rest and meet with other leaders.","The White House; Air Force One; Camp David; President; American history; Presidential residence; Naval Support Facility Thurmont; Catoctin Mountain Park","https://www.whitehouse.gov/about-the-white-house/"
"Additional Measures to Combat Anti-Semitism – The White House","Executive Order","The President is making new rules to stop people from being mean to Jewish students in schools and colleges, especially after some bad events happened. They want everyone to use the law to help protect these students.","Presidential Action; Anti-Semitism; Executive Order 13899; Higher Education; Civil Rights; January 29, 2025","https://www.whitehouse.gov/presidential-actions/2025/01/additional-measures-to-combat-anti-semitism/"
"Addressing Egregious Actions of The Republic of South Africa","Executive Order","The US President decided that America won't give help to South Africa because they're doing unfair things to people who live there. They're also making friends with countries that don’t always agree with us. America wants to help people who need to leave South Africa because of this.","South Africa; Expropriation Act; US Foreign Policy; Afrikaner Refugees; Aid Suspension; Humanitarian Relief","https://www.whitehouse.gov/presidential-actions/2025/02/addressing-egregious-actions-of-the-republic-of-south-africa/"
"The Trump Administration","Fact Sheet","Donald Trump is President again, and JD Vance is his Vice President. They want to make things better in America. Melania Trump is the First Lady, and Usha Vance is the Second Lady.","Donald J. Trump; JD Vance; Melania Trump; Usha Vance; 2024 election; White House administration; First Lady; Second Lady; Cabinet","https://www.whitehouse.gov/administration/"
"Air Force One","Fact Sheet","Air Force One is a special super plane that the President of the United States uses to fly anywhere in the world quickly. It's extra safe, can fly without stopping for gas, and even has a mini hospital on board!","Air Force One; President; Boeing 747-200B; VC-25A; Presidential Airlift Group; Presidential travel; Mobile command center; Presidency; Presidential history; Aviation","https://www.whitehouse.gov/about-the-white-house/air-force-one/"
"Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China","Executive Order","The President made a change to a rule about drugs coming from China. If some special conditions are met, the government will start collecting more money from these drugs. It's like setting up a rule to make sure the government gets its fair share when certain drugs are brought into the country.","synthetic opioids; China; tariffs; trade; economic regulation; de minimis; U.S. Code","https://www.whitehouse.gov/presidential-actions/2025/02/amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/"
"America First Policy Directive To The Secretary Of State","Executive Order","The President told people in charge of U.S. foreign affairs that from now on, they have to think about what's best for America first when making decisions.","America First; foreign policy; Presidential directive; United States; Secretary of State; January 20, 2025","https://www.whitehouse.gov/presidential-actions/2025/01/america-first-policy-directive-to-the-secretary-of-state/"
"America First Trade Policy – The White House","Presidential Memorandum","The document is like a big plan from the President to make sure America does well in trading with other countries. It asks important people to check if other countries are playing fair and using money rules correctly, and to make sure products made in America get a good chance to sell. They need to see if anything is unfair and report back with ideas to fix it.","America First Trade Policy; trade deficits; USMCA; currency manipulation; intellectual property; national security; tariffs; export controls","https://www.whitehouse.gov/presidential-actions/2025/01/america-first-trade-policy/"
"Career and Technical Education Month, 2025 – The White House","Proclamation","It’s Career and Technical Education Month! President Trump wants to help people learn skills for jobs so they can earn more money and make America better. He is making sure schools teach kids important skills for the future.","Career and Technical Education; Donald J. Trump; February 2025; Proclamation; Workforce; Vocational Training; Economy; Education","https://www.whitehouse.gov/presidential-actions/2025/02/american-heart-month-2025-4730/"
"American Heart Month, 2025","Proclamation","The President has said that February 2025 is a time for everyone to think about keeping their hearts healthy, because heart disease is something that makes a lot of people sick. He wants everyone to learn about eating good food and exercising to stay strong!","American Heart Month; heart disease; health awareness; February 2025; Donald J. Trump; National Wear Red Day; preventive health; chronic disease; medical advancements","https://www.whitehouse.gov/presidential-actions/2025/02/american-heart-month-2025/"
"Application Of Protecting Americans From Foreign Adversary Controlled Applications Act To TikTok – The White House","Executive Order","The President said not to ban TikTok right away because they need more time to decide how to keep everyone safe. For 75 days, the government won't stop anyone from using TikTok while they figure things out.","Executive Order; TikTok; ByteDance; National Security; Foreign Adversary; DOJ; Application Ban; Protecting Americans Act","https://www.whitehouse.gov/presidential-actions/2025/01/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok/"
"At USAID, Waste and Abuse Runs Deep – The White House","Fact Sheet","This article talks about how a lot of money given to help people in other countries is being spent on things that don't really help, like plays, operas, or expensive projects. The USA wants to stop wasting money like this.","USAID; waste; abuse; international aid; financial mismanagement; oversight; accountability","https://www.whitehouse.gov/uncategorized/2025/02/at-usaid-waste-and-abuse-runs-deep/"
"Briefings & Statements – The White House","Press Release","This is a page from the White House website. It tells us about important phone calls and meetings President Trump had in January 2025, like with leaders from India and the UK. It also talks about some new rules and events he's planning.","President Trump; White House; Briefings; Statements; Foreign Policy; International Calls; Appointments; Policy; Lebanon-Israel Agreement; Hostage Release; Auschwitz Commemoration","https://www.whitehouse.gov/briefings-statements/"
"President Trump Announces Cabinet and Cabinet Level Appointments – The White House","Presidential Action","President Trump picked a team of people to help him run the country, like picking team captains for a sports game. He chose them to do important jobs, like managing money or making sure people are safe.","Presidential Appointments; Trump Administration; Cabinet; Senate Confirmation; Nominations; Secretary of State; Secretary of Treasury; United Nations","https://www.whitehouse.gov/presidential-actions/2025/01/cabinet-and-cabinet-level-appointments/"
"Camp David","Fact Sheet","Camp David is a special house in the woods where the President can relax and have important meetings. Presidents from around the world go there to talk about big ideas.","Camp David; Presidential retreat; Foreign dignitaries; Diplomacy; Catoctin Mountain Park; Franklin Roosevelt; Dwight Eisenhower; Camp David Accords","https://www.whitehouse.gov/about-the-white-house/camp-david/"
"Career and Technical Education Month, 2025","Proclamation","It’s Career and Technical Education Month! President Trump wants to help people learn skills for jobs so they can earn more money and make America better. He is making sure schools teach kids important skills for the future.","Career and Technical Education; Donald J. Trump; February 2025; Proclamation; Workforce; Vocational Training; Economy; Education","https://www.whitehouse.gov/presidential-actions/2025/02/career-and-technical-education-month-2025/"
"Celebrating America's 250th Birthday – The White House","Executive Order","The President wants to throw a big birthday party for America turning 250 on July 4, 2026! A special group will plan fun events and make sure everything is ready. They also want to keep important statues safe from harm.","250th Anniversary; American Independence; Task Force 250; National Garden of American Heroes; Monument Protection; Executive Order","https://www.whitehouse.gov/presidential-actions/2025/01/celebrating-americas-250th-birthday/"
"Clarifying The Military's Role In Protecting The Territorial Integrity Of The United States – The White House","Executive Order","The President told the military to help keep the country's borders safe from people crossing in illegally and bringing in drugs because it's important for everyone's safety.","Presidential Order; Military; Border Security; Territorial Integrity; USNORTHCOM; National Emergency; Immigration; Drug Trafficking","https://www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/"
"The White House","Fact Sheet","This is about President Trump working hard to make America safe and strong for everyone. He wants to help lower prices, protect the country, and make energy powerful.","America; President Trump; Vice President; Melania Trump; 47th Administration; Priorities; Security; Energy; White House","https://www.whitehouse.gov/"
"Copyright – The White House","Fact Sheet","The government doesn't keep copies of stuff it makes on the site, but visitors can use it for free. If you put something on the site, everyone can use it too, just be sure to say where it came from.","Copyright Policy; Government Materials; Creative Commons; Licensing; Federal Law","https://www.whitehouse.gov/copyright/"
"Council to Assess the Federal Emergency Management Agency – The White House","Executive Order","### ELI5

The President wants to see if FEMA is doing a good job helping people during disasters. So, they've set up a group of experts to look into how FEMA works and suggest better ways to do things. This group will talk to lots of people and has to give a special report to the President about what they find out.","FEMA; disaster response; Presidential order; review council; emergency management; national resilience","https://www.whitehouse.gov/presidential-actions/2025/01/council-to-assess-the-federal-emergency-management-agency/"
"Declaring A National Emergency At The Southern Border Of The United States – The White House","Proclamation","President Trump declared a big emergency at the U.S.-Mexico border because he thinks bad people and things are coming across. He's using the military to help stop it and build walls.","National Emergency; Southern Border; Donald Trump; Cartels; Human Trafficking; Armed Forces; Homeland Security","https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-emergency-at-the-southern-border-of-the-united-states/"
"Declaring a National Energy Emergency – The White House","Executive Order","### ELI5

The President decided that we need more energy and faster action to make it happen because too little energy makes everything more expensive and less safe. They've asked for help from different parts of the government to get energy faster, including using special rules. This way, we will have more energy for everyone and stay safe from people who might want to cause trouble.","National Energy Emergency; Energy Infrastructure; Federal Agencies; Environmental Protection; Domestic Energy; Defense Production Act; Clean Water Act; Endangered Species Act; Energy Security; National Security","https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/"
"Declassification of Records Concerning the Assassinations of President John F. Kennedy – The White House","Presidential Action","The President says it's time to share all the secret papers about the killings of famous leaders like John F. Kennedy because everyone should know the truth. He wants the secret team to bring a plan to share these stories with everyone.","Declassification; Assassination Records; Transparency; John F. Kennedy; Robert F. Kennedy; Martin Luther King Jr.; Presidential Order","https://www.whitehouse.gov/presidential-actions/2025/01/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy/"
"Defending Women From Gender Ideology Extremism And Restoring Biological Truth To The Federal Government – The White House","Executive Order","A new rule says the government must use the biological differences between boys and girls in their work, instead of letting people choose if they want to be a boy or girl. This is because the rule-makers think this will keep people safer and the rules fair.","gender ideology; biological sex; federal policy; Executive Order; women's rights; single-sex spaces; gender identity","https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/"
"Delivering Emergency Price Relief for American Families and Defeating the Cost-of-Living Crisis","Presidential Action","The President said things have become too expensive for people because of some rules from the past. Now, new plans are being made to make things like houses and energy cheaper, so people can afford them better.","price relief; inflation; Biden Administration; regulations; housing costs; energy costs; healthcare costs; climate policies","https://www.whitehouse.gov/presidential-actions/2025/01/delivering-emergency-price-relief-for-american-families-and-defeating-the-cost-of-living-crisis/"
"Designating Cartels And Other Organizations As Foreign Terrorist Organizations And Specially Designated Global Terrorists – The White House","Presidential Action","### ELI5

The President announced a plan to call some really dangerous groups, called cartels, as terrorists. This is to help stop them from bringing bad things to the country and make sure people are safe.","Foreign Terrorist Organizations; Specially Designated Global Terrorists; Cartels; National Security; Western Hemisphere; Immigration and Nationality Act; International Emergency Economic Powers Act","https://www.whitehouse.gov/presidential-actions/2025/01/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially-designated-global-terrorists/"
"President Trump Announces Acting Cabinet and Cabinet-Level Positions","Presidential Action","President Trump picked some people to temporarily do important jobs in the government until they find the permanent people for those jobs.","President Trump; Acting Cabinet; Appointments; White House; January 2025; 5 U.S.C. 3345; Government roles","https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-acting-leaders/"
"Designation Of Ansar Allah as a Foreign Terrorist Organization – The White House","Presidential Action","The government is thinking about officially calling a group called the Houthis a 'bad group' because they've been doing dangerous things, like attacking ships and airports. They want to stop this to keep people safe.","Ansar Allah; Houthis; Foreign Terrorist Organization; presidential order; Iran's IRGC-QF; maritime trade; USAID","https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-ansar-allah-as-a-foreign-terrorist-organization/"
"President Trump Designates Chairmen and Acting Chairmen – The White House","Presidential Action","President Trump picked some people to be in charge of important groups at the White House to help things run smoothly.","President Trump; chairmen; acting chairmen; White House; January 20, 2025; designation","https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-chairmen-and-acting-chairmen/"
"President Donald J. Trump","Fact Sheet","Donald Trump was the 45th President and is back to be the 47th after winning another election. Before politics, he was really good at real estate and wrote books. He has a big family and wants to make America better by stopping wars and making new jobs.","Donald Trump; Presidency; Election 2024; Real Estate; American Dream; Economic Policy; Military Investment; Political Achievements; Family; Business","https://www.whitehouse.gov/administration/donald-j-trump/"
"Eliminating the Federal Executive Institute","Executive Order","The President decided to close a school for government workers that was teaching them how to be leaders because it has been around for a long time and he thinks it doesn't help regular people enough.","Federal Executive Institute; Executive Order; taxpayer dollars; bureaucracy; leadership training; Office of Personnel Management; government programs; revocation; cost efficiency","https://www.whitehouse.gov/presidential-actions/2025/02/eliminating-the-federal-executive-institute/"
"Emergency Measures to Provide Water Resources in California and Improve Disaster Response in Certain Areas – The White House","Executive Order","The President wants to help California because of big fires, so he told everyone in the government to work together to bring more water and help people rebuild their homes. They also want to make sure money is spent wisely to be ready for emergencies.","wildfires; water resources; disaster response; California; federal intervention; housing displaced families; environmental policy; regulatory compliance","https://www.whitehouse.gov/presidential-actions/2025/01/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain-areas/"
"Ending Illegal Discrimination And Restoring Merit-Based Opportunity","Executive Order","The President wants to make sure everyone is treated fairly and gets opportunities based on how hard they work. He believes some rules about making people different aren’t fair and wants to stop them.","civil rights; discrimination; merit-based opportunity; diversity and inclusion; DEI; executive order; federal laws; equality; workforce policies","https://www.whitehouse.gov/presidential-actions/2025/01/ending-illegal-discrimination-and-restoring-merit-based-opportunity/"
"Ending Radical And Wasteful Government DEI Programs And Preferencing","Executive Order","The President ordered to stop all the diversity and inclusion projects in the government to focus on rewarding hard work and skills instead.

People working on these projects will have to end them soon, and there will be meetings to see how things are going.","DEI; Federal Government; Executive Order; Presidential Action; Diversity; Equity; January 20, 2025","https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-and-wasteful-government-dei-programs-and-preferencing/"
"Ending Radical Indoctrination in K-12 Schooling – The White House","Executive Order","The President said schools shouldn't teach things that parents might think are unfair or not true about America. They want schools to teach more good things about America and make sure rules are followed closely.","K-12 education; indoctrination; patriotic education; racial discrimination; parental rights; 1776 Commission; federal funding; educational policy","https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-indoctrination-in-k-12-schooling/"
"Ending The Weaponization Of The Federal Government – The White House","Executive Order","The President wants to make sure government workers are fair to everyone and not use their power to hurt people who don't agree with them. So, he is asking the government to check how they acted before and fix any mistakes.","Presidential Order; Weaponization; Federal Government; Law Enforcement; Intelligence Community; Accountability; Political Opponents","https://www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/"
"Enforcing the Hyde Amendment","Executive Order","The President has decided that the government won't pay for certain kinds of medical procedures like abortions. It's like asking people not to use shared money for things not everyone agrees on.","Hyde Amendment; Federal funding; Elective abortion; Executive Order; Reproductive healthcare; U.S. President; Office of Management and Budget; Policy revocation","https://www.whitehouse.gov/presidential-actions/2025/01/enforcing-the-hyde-amendment/"
"Eradicating Anti-Christian Bias","Presidential Action","The President made a plan to stop the government from being unfair to Christian people and their churches. They made a group of important people in the government to help make sure everyone can practice their religion safely.","Presidential Action; Religious Freedom; Anti-Christian Bias; Task Force; Government Policy; Religious Liberty","https://www.whitehouse.gov/presidential-actions/2025/02/eradicating-anti-christian-bias/"
"Establishing And Implementing The President's ""Department Of Government Efficiency"" – The White House","Executive Order","The President made a new rule to help the government use technology better, like making sure computers talk to each other properly. He also started a special team called the DOGE Service to make this happen, and every part of the government has to help them out.","Executive Order; Department of Government Efficiency; USDS; Technology Modernization; Federal Agencies; DOGE Agenda; Data Protection","https://www.whitehouse.gov/presidential-actions/2025/01/establishing-and-implementing-the-presidents-department-of-government-efficiency/"
"Establishment of The White House Faith Office","Executive Order","The President made a new office to help religious and community groups do good jobs helping people and getting money from the government to help more families. It's all about helping them do their best work.","White House Faith Office; faith-based organizations; community initiatives; religious liberty; federal funding; executive order","https://www.whitehouse.gov/presidential-actions/2025/02/establishment-of-the-white-house-faith-office/"
"Executive Grant of Clemency for Andrew Zabavsky – The White House","Presidential Action","The President, Donald Trump, decided to forgive a person named Andrew Zabavsky for breaking some rules, so Zabavsky doesn't have to be punished anymore.","Executive Grant of Clemency; Donald J. Trump; Andrew Zabavsky; Pardon; United States District Court; Section 371; Section 1512; Article II Constitution; Presidential Powers","https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-andrew-zabavsky/"
"Executive Grant of Clemency for Terence Sutton – The White House","Presidential Action","The President of the United States, Donald Trump, decided to forgive Terence Sutton for the crimes he was punished for and released him from his jail time. This happened on January 22, 2025, and it was officially approved with a special seal.","Donald Trump; Presidential Pardon; Clemency; Terence Sutton; Constitutional Powers; District of Columbia; US Code","https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-terence-sutton/"
"Expanding Educational Freedom and Opportunity for Families – The White House","Executive Order","The President wants to make it easier for families to choose where their kids go to school. This means helping states use money so parents can pick the best school for their kids, whether it's public, private, or religious.","Educational freedom; K-12 schools; Parental choice; Scholarship programs; Federal funds; Private schools; Faith-based schools; Education policy","https://www.whitehouse.gov/presidential-actions/2025/01/expanding-educational-freedom-and-opportunity-for-families/"
"Expanding Migrant Operations Center at Naval Station Guantanamo Bay to Full Capacity","Presidential Memorandum","The President told leaders in charge of defense and homeland security that they should make more space at a special center for people who came to the U.S. without permission. This is to help manage the border better.","Migrant Operations Center; Naval Station Guantanamo Bay; immigration enforcement; detention space; criminal aliens; national sovereignty","https://www.whitehouse.gov/presidential-actions/2025/01/expanding-migrant-operations-center-at-naval-station-guantanamo-bay-to-full-capacity/"
"Fact Sheet: Executive Order to Establish United States Leadership in Digital Financial Technology – The White House","Fact Sheet","President Trump wants to make sure the United States leads the world in new money technologies, like digital coins. He made rules so everyone knows what to expect and won't stop innovation, like promising there will be no over-complicated rules that slow things down.","Digital Financial Technology; Executive Order; Digital Assets; Regulatory Framework; Stablecoins; CBDCs; Innovation; Economic Opportunity; U.S. Leadership","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-executive-order-to-establish-united-states-leadership-in-digital-financial-technology/"
"Fact Sheet: President Donald J. Trump Addresses Human Rights Violations in South Africa","Fact Sheet","President Trump decided to stop giving money to South Africa because he believes they're being unfair by taking land from certain people and being mean. Until they stop and talk about it, the U.S. won't help them.","Trump; South Africa; human rights; land confiscation; executive order; discrimination; ethnic minority; aid; terrorism; Expropriation Act; refugees","https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-addresses-human-rights-violations-in-south-africa/"
"Fact Sheet: President Donald J. Trump Declares a National Emergency at the Southern Border","Fact Sheet","President Trump wants to make the border safer because too many people are coming in illegally, and it's causing problems with drugs and gangs. So he's sending more soldiers to help and finish building a big wall.","National Emergency; Southern Border; Executive Order; Immigration; Border Security; Donald Trump; Military Deployment; Fentanyl Crisis; Tren de Aragua; DHS; Human Trafficking; Illegal Immigration","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-declares-a-national-emergency-at-the-southern-border/"
"Fact Sheet: President Donald J. Trump Delivers Emergency Price Relief for American Families to Defeat the Cost-of-Living Crisis – The White House","Presidential Memorandum","President Trump wants to make things cheaper for families by changing some rules that he believes made things more expensive, like houses and food. He's trying to fix what he thinks was broken when President Biden was in charge.","Cost-of-Living; Regulatory Burden; Housing Costs; Energy Prices; Biden Administration; Trump Administration; Presidential Memorandum; Economic Policy","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-delivers-emergency-price-relief-for-american-families-to-defeat-the-cost-of-living-crisis/"
"Fact Sheet: President Donald J. Trump Directs Administration to Advance Lumbee Tribe Recognition","Presidential Memorandum","President Trump wants to make sure the Lumbee Tribe is fully recognized by the government so they can get special help and benefits, just like other tribes.","Lumbee Tribe; federal recognition; Presidential Memorandum; Donald Trump; Secretary of the Interior; North Carolina; tribal benefits","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-directs-administration-to-advance-lumbee-tribe-recognition/"
"Fact Sheet: President Donald J. Trump Directs the Building of the Iron Dome Missile Defense Shield for America – The White House","Fact Sheet","President Trump decided to build a big protective shield called the Iron Dome to keep the United States safe from dangerous missiles flying through the air. This means making some new high-tech tools and working together with friends in other countries.","Iron Dome; missile defense; Executive Order; national security; President Trump; hypersonic missiles","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-directs-the-building-of-the-iron-dome-missile-defense-shield-for-america/"
"President Trump's America First Priorities","Presidential Memorandum","President Trump wants to make sure that people who keep planes safe are really good at their jobs, so he changed a rule to hire the best people, not just because of who they are. He thinks this helps keep everyone on airplanes safe.","President Trump; FAA; DEI; Merit-based hiring; Safety; Efficiency; Presidential Memorandum","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-ends-dei-madness-and-restores-excellence-and-safety-within-the-federal-aviation-administration/"
"Fact Sheet: President Donald J. Trump Enforces Overwhelmingly Popular Demand to Stop Taxpayer Funding of Abortion – The White House","Fact Sheet","President Trump made a rule that stops the government from using people's money to help with abortions. He also made sure money isn't used for abortions in other countries and wants states to decide about abortion on their own.","Trump; Executive Order; Hyde Amendment; Mexico City Policy; abortion funding; Dobbs v. Jackson; Roe v. Wade; state regulations; taxpayer money","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-enforces-overwhelmingly-popular-demand-to-stop-taxpayer-funding-of-abortion/"
"Fact Sheet: President Donald J. Trump Ensures Military Excellence and Readiness – The White House","Fact Sheet","President Trump says the military should focus on being strong and ready, so he changed some rules to make sure everyone is very fit and can do tough jobs without distractions.","Donald Trump; Executive Order; military readiness; trans-identifying; Department of Defense; gender identity; Biden administration","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-ensures-military-excellence-and-readiness/"
"Fact Sheet: President Donald J. Trump Eradicates Anti-Christian Bias","Fact Sheet","President Trump made a special team to stop people in the government from being unfair to Christians. This team will look at how the government treats Christians and make sure everyone can practice their religion freely.","Donald Trump; anti-Christian bias; religious freedom; Executive Order; Task Force; Biden Administration; First Amendment; religious liberties","https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-eradicates-anti-christian-bias/"
"Fact Sheet: President Donald J. Trump Establishes White House Faith Office","Fact Sheet","**President Trump** started a new office to help **churches** and **faith groups** do good things in their communities! He also made decisions to help people practice their beliefs freely and to **protect religious freedom** like he has before.","Donald Trump; White House Faith Office; religious liberty; Executive Order; faith-based organizations; COVID-19 vaccine mandate; anti-Christian bias; Johnson Amendment","https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-establishes-white-house-faith-office/"
"Fact Sheet: President Donald J. Trump Expands Educational Opportunities for American Families","Fact Sheet","President Trump wants parents to choose which school is best for their kids. He made rules to help families use different types of schools, like private ones, not just regular ones. This way, kids can learn better and have more choices.","President Donald J. Trump; educational opportunities; school choice; Executive Order; Department of Education; parents' rights; K-12; scholarship programs; Secretary of Defense; Bureau of Indian Education; charter schools; School Choice Now Act","https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-expands-educational-opportunities-for-american-families/"
"Fact Sheet: President Donald J. Trump Imposes Tariffs on Imports from Canada, Mexico and China","Fact Sheet","President Trump is putting extra costs on things we buy from Canada, Mexico, and China because he wants these countries to help stop people and illegal drugs from coming into the United States.","tariffs; Donald J. Trump; Canada; Mexico; China; illegal immigration; fentanyl; national security; trade policy; economic leverage","https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/"
